month,mrr,active_users,cac,churn_rate,marketing_spend,burn_rate
0,562000,562,1200,0.04239175399015316,99600,395162
1,590000,590,1200,0.03284424633611239,55200,269728
2,634000,634,1200,0.044271265343645866,84000,321191
3,651000,651,1200,0.047609344074671184,56400,325563
4,690000,690,1200,0.05227880508567702,87600,340166
5,721000,721,1200,0.04456797955922397,73200,294160
6,737000,737,1200,0.059522883197223916,69600,299625
7,761000,761,1200,0.05372580759292034,75600,362507
8,797000,797,1200,0.053782610084071106,91200,355412
9,839000,839,1200,0.036963647720989555,85200,309726
10,864000,864,1200,0.021158588005505873,50400,264196
11,898000,898,1200,0.04341186362389063,85200,374389
12,913000,913,1200,0.03916530277696969,60000,301495
13,909000,909,1200,0.05892656038452866,58800,326800
14,951000,951,1200,0.020993313209741106,73200,350231
15,976000,976,1200,0.04307700956554074,78000,351506
16,1010000,1010,1200,0.03500009163198232,81600,307743
17,1012000,1012,1200,0.040758377008186894,51600,254868
18,1036000,1036,1200,0.03789767968535851,74400,365678
19,1071000,1071,1200,0.02566918494549049,73200,294067
20,1116000,1116,1200,0.0251479080238544,85200,363397
21,1106000,1106,1200,0.04774614884684995,51600,258052
22,1107000,1107,1200,0.05438352533105989,73200,280740
23,1150000,1150,1200,0.04206818581381325,106800,313259
24,1194000,1194,1200,0.020849579082515148,80400,330300
25,1197000,1197,1200,0.03733778711176662,56400,334133
26,1218000,1218,1200,0.03594282492824466,76800,302784
27,1251000,1251,1200,0.02351078812759109,73200,303968
28,1247000,1247,1200,0.05525029571560107,78000,324572
29,1274000,1274,1200,0.0423447309894385,94800,298700
30,1259000,1259,1200,0.05300307419406508,62400,321075
31,1266000,1266,1200,0.04130627534730154,70800,344236
32,1273000,1273,1200,0.03816492009707707,66000,306008
33,1257000,1257,1200,0.04816387061380557,54000,304611
34,1281000,1281,1200,0.04532884056092361,96000,340578
35,1322000,1322,1200,0.0374591905035488,105600,336018
36,1344000,1344,1200,0.02703704132385551,68400,274434
37,1349000,1349,1200,0.037464009324446476,66000,352272
38,1392000,1392,1200,0.021001126917863516,85200,353519
39,1397000,1397,1200,0.028424779343954848,52800,278767
40,1404000,1404,1200,0.059370182664305174,106800,396970
41,1431000,1431,1200,0.035614540343508874,92400,374737
42,1434000,1434,1200,0.04957879813820566,87600,316520
43,1430000,1430,1200,0.039458256015313734,62400,314299
44,1433000,1433,1200,0.04257127250796029,75600,324209
45,1429000,1429,1200,0.05115568297862914,82800,292005
46,1414000,1414,1200,0.0428235331961045,55200,296891
47,1442000,1442,1200,0.027834961902071166,80400,369306
48,1470000,1470,1200,0.036624815729153784,96000,307957
49,1456000,1456,1200,0.057360911778040216,84000,382661
50,1443000,1443,1200,0.03769368845092892,49200,308914
51,1448000,1448,1200,0.04452514172031535,82800,315372
52,1497000,1497,1200,0.027643362590212748,106800,315300
53,1506000,1506,1200,0.04325387591811046,87600,296866
54,1486000,1486,1200,0.05705419710289787,78000,286314
55,1471000,1471,1200,0.05869635566717428,86400,297653
56,1453000,1453,1200,0.04485047693947876,56400,282225
57,1449000,1449,1200,0.04187515803889991,67200,273304
58,1432000,1432,1200,0.05258288817723569,70800,299112
59,1443000,1443,1200,0.05364455214905221,104400,336636
60,1457000,1457,1200,0.025863712585627648,61200,353726
61,1448000,1448,1200,0.03920355316976669,57600,339634
62,1452000,1452,1200,0.032746309435041566,61200,351006
63,1441000,1441,1200,0.051640172558765546,75600,321764
64,1455000,1455,1200,0.0470968923269145,97200,389762
65,1505000,1505,1200,0.024001977285486767,100800,356504
66,1526000,1526,1200,0.04394786366569256,104400,335277
67,1547000,1547,1200,0.039929953515572075,97200,365604
68,1566000,1566,1200,0.03905900184242775,94800,369456
69,1588000,1588,1200,0.03775274695872751,97200,350739
70,1563000,1563,1200,0.0536301092152701,72000,351330
71,1571000,1571,1200,0.03935156575101854,82800,291595
